"filename", "language", "C++", "JSON", "Markdown", "Swift", "HTML", "XML", "Dart", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Flutter Projects\medo_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Flutter Projects\medo_app\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 23, 4, 30
"e:\Flutter Projects\medo_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"e:\Flutter Projects\medo_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"e:\Flutter Projects\medo_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 1, 35
"e:\Flutter Projects\medo_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\Flutter Projects\medo_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\Flutter Projects\medo_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\Flutter Projects\medo_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\Flutter Projects\medo_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"e:\Flutter Projects\medo_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"e:\Flutter Projects\medo_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
