Date : 2023-04-04 17:36:16
Directory : e:\Flutter Projects\medo_app
Total : 70 files,  4165 codes, 461 comments, 457 blanks, all 5083 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         26 |      2,700 |        199 |        186 |      3,085 |
| C++        |         16 |        529 |        118 |        181 |        828 |
| XML        |         10 |        466 |         48 |         12 |        526 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         89 |          5 |         22 |        116 |
| Swift      |          4 |         38 |          3 |         12 |         53 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         36 |         72 |         23 |        131 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         70 |      4,165 |        461 |        457 |      5,083 |
| . (Files)                                                                                    |          3 |         46 |         72 |         30 |        148 |
| android                                                                                      |         12 |        159 |         51 |         33 |        243 |
| android (Files)                                                                              |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                  |          8 |        116 |         51 |         22 |        189 |
| android\app (Files)                                                                          |          1 |         54 |          5 |         13 |         72 |
| android\app\src                                                                              |          7 |         62 |         46 |          9 |        117 |
| android\app\src\debug                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                         |          5 |         54 |         38 |          7 |         99 |
| android\app\src\main (Files)                                                                 |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\res                                                                     |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                      |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                       |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                          |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                   |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                   |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                          |         25 |      2,686 |        189 |        179 |      3,054 |
| lib (Files)                                                                                  |          1 |         51 |          2 |          5 |         58 |
| lib\models                                                                                   |          1 |         23 |          0 |          4 |         27 |
| lib\resources                                                                                |          3 |        243 |         17 |         22 |        282 |
| lib\screens.dart                                                                             |         19 |      2,358 |        170 |        147 |      2,675 |
| lib\screens.dart\Auth_screens                                                                |          4 |        475 |         32 |         20 |        527 |
| lib\screens.dart\Auth_screens (Files)                                                        |          2 |        434 |         32 |         13 |        479 |
| lib\screens.dart\Auth_screens\favourites_screen                                              |          2 |         41 |          0 |          7 |         48 |
| lib\screens.dart\Home_screen                                                                 |          6 |        834 |         51 |         70 |        955 |
| lib\screens.dart\Notification screen                                                         |          3 |        231 |          1 |         14 |        246 |
| lib\screens.dart\intro screens                                                               |          4 |        647 |         66 |         31 |        744 |
| lib\screens.dart\splash_screens                                                              |          2 |        171 |         20 |         12 |        203 |
| lib\utils                                                                                    |          1 |         11 |          0 |          1 |         12 |
| lib\utils\routes                                                                             |          1 |         11 |          0 |          1 |         12 |
| linux                                                                                        |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                        |          5 |        437 |          3 |         12 |        452 |
| macos\Flutter                                                                                |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                 |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                         |          2 |         20 |          0 |          6 |         26 |
| macos\Runner\Assets.xcassets                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                      |          1 |        343 |          0 |          1 |        344 |
| test                                                                                         |          1 |         14 |         10 |          7 |         31 |
| web                                                                                          |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                      |         10 |        434 |         91 |        142 |        667 |
| windows\flutter                                                                              |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                               |          8 |        426 |         82 |        131 |        639 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Flutter Projects\medo_app\README.md                                                       | Markdown   |         10 |          0 |          7 |         17 |
| e:\Flutter Projects\medo_app\analysis_options.yaml                                           | YAML       |          3 |         23 |          4 |         30 |
| e:\Flutter Projects\medo_app\android\app\build.gradle                                        | Groovy     |         54 |          5 |         13 |         72 |
| e:\Flutter Projects\medo_app\android\app\src\debug\AndroidManifest.xml                       | XML        |          4 |          4 |          1 |          9 |
| e:\Flutter Projects\medo_app\android\app\src\main\AndroidManifest.xml                        | XML        |         28 |          6 |          1 |         35 |
| e:\Flutter Projects\medo_app\android\app\src\main\res\drawable-v21\launch_background.xml     | XML        |          4 |          7 |          2 |         13 |
| e:\Flutter Projects\medo_app\android\app\src\main\res\drawable\launch_background.xml         | XML        |          4 |          7 |          2 |         13 |
| e:\Flutter Projects\medo_app\android\app\src\main\res\values-night\styles.xml                | XML        |          9 |          9 |          1 |         19 |
| e:\Flutter Projects\medo_app\android\app\src\main\res\values\styles.xml                      | XML        |          9 |          9 |          1 |         19 |
